id,language,source,subject,question,answer,score,test
1,en,human,ml-basic,Name 3 libraries for Gradient Boosting,"Catboost, lightgbm, xgboost",1,h08
2,en,human,ml-basic,Name 3 libraries for Gradient Boosting,"XGBoost, CatBoost, LightGBM",1,h08
3,en,human,ml-basic,Name 3 libraries for Gradient Boosting,xgboost lightgbm catboost,1,h08
4,en,human,ml-basic,Name 3 libraries for Gradient Boosting,"XGBoost, LightGBM, CatBoost",1,h08
5,en,human,ml-basic,Name 3 libraries for Gradient Boosting,"XGBoost, Catboost, LightGBM",1,h08
6,en,human,ml-basic,Name 3 libraries for Gradient Boosting,"xgboost, lightGBM, catboost",1,h08
7,en,human,ml-basic,Name 3 libraries for Gradient Boosting,"XGboost, LightGBM, catboost",1,h08
8,en,human,ml-basic,Name 3 libraries for Gradient Boosting,"GDBoost, CatBoost, LightGBM",1,h08
9,en,human,ml-basic,Name 4 methods of hyperparameter search,"Manual trial, grid search, bayesian optimization, evolutionary method",1,h08
10,en,human,ml-basic,Name 4 methods of hyperparameter search,"Manual search, grid search, bayesian optimization, evolutionary methods, random search",1,h08
11,en,human,ml-basic,Name 4 methods of hyperparameter search,random search grid search baysean search,1,h08
12,en,human,ml-basic,Name 4 methods of hyperparameter search,"manual, Grid Search, Bayesian Optimization, Evolutional",1,h08
13,en,human,ml-basic,Name 4 methods of hyperparameter search,"Grid search, Random search, Bayesian optimization,  Evolutionary methonds",1,h08
14,en,human,ml-basic,Name 4 methods of hyperparameter search,"grid search, random search, bayesian search, genetic",1,h08
15,en,human,ml-basic,Name 4 methods of hyperparameter search,"manual trial, grid search, bayesian optimization, evolutionary methods",1,h08
16,en,human,ml-basic,Name 4 methods of hyperparameter search,"manual, grid search, bayesian, evolutionary",1,h08
17,en,human,ml-basic,Write formula for cosine distance,1- (A dot B / norm(A) norm(B)),1,h08
18,en,human,ml-basic,Write formula for cosine distance,"1 -  ( <a, b> / (norm(a) * norm(b) ) )",1,h08
19,en,human,ml-basic,Write formula for cosine distance,(A  * B )/(||A||*||b||),0,h08
